date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:40	31245/31245	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/atlassian-rest-api-design-guidelines-version-1	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/atlassian-rest-api-design-guidelines-version-1.html	(from https://apistylebook.com/design/guidelines/)
17:24:40	107647/107647	---M--	200	added ('OK')	image/png	etag:%225d348b1a-1a47f%22	https://apistylebook.com/media/screenshots/atlassian-rest-api-policy.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/atlassian-rest-api-policy.png	(from https://apistylebook.com/design/guidelines/)
17:24:40	12455/12455	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/atlassian-rest-api-policy	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/atlassian-rest-api-policy.html	(from https://apistylebook.com/design/guidelines/)
17:24:40	165284/165284	---M--	200	added ('OK')	image/png	etag:%225d348b1a-285a4%22	https://apistylebook.com/media/screenshots/ausdto-api-design-guide.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/ausdto-api-design-guide.png	(from https://apistylebook.com/design/guidelines/)
17:24:40	27084/27084	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/ausdto-api-design-guide	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/ausdto-api-design-guide.html	(from https://apistylebook.com/design/guidelines/)
17:24:41	158521/158521	---M--	200	added ('OK')	image/png	etag:%225d348b1a-26b39%22	https://apistylebook.com/media/screenshots/cisco-api-design-guide.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/cisco-api-design-guide.png	(from https://apistylebook.com/design/guidelines/)
17:24:41	35266/35266	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/cisco-api-design-guide	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/cisco-api-design-guide.html	(from https://apistylebook.com/design/guidelines/)
17:24:41	141600/141600	---M--	200	added ('OK')	image/png	etag:%225d348b1a-22920%22	https://apistylebook.com/media/screenshots/cloud-foundy-cloud-controller-api-style-guide.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/cloud-foundy-cloud-controller-api-style-guide.png	(from https://apistylebook.com/design/guidelines/)
17:24:41	36358/36358	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/cloud-foundy-cloud-controller-api-style-guide	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/cloud-foundy-cloud-controller-api-style-guide.html	(from https://apistylebook.com/design/guidelines/)
17:24:42	86538/86538	---M--	200	added ('OK')	image/png	etag:%225d348b1a-1520a%22	https://apistylebook.com/media/screenshots/deliveroo-api-design-guidelines.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/deliveroo-api-design-guidelines.png	(from https://apistylebook.com/design/guidelines/)
17:24:42	66727/66727	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/deliveroo-api-design-guidelines	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/deliveroo-api-design-guidelines.html	(from https://apistylebook.com/design/guidelines/)
17:24:42	260441/260441	---M--	200	added ('OK')	image/png	etag:%225d348b1a-3f959%22	https://apistylebook.com/media/screenshots/google-api-design-guide.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/google-api-design-guide.png	(from https://apistylebook.com/design/guidelines/)
17:24:42	48265/48265	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/google-api-design-guide	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/google-api-design-guide.html	(from https://apistylebook.com/design/guidelines/)
17:24:42	162814/162814	---M--	200	added ('OK')	image/png	etag:%225d348b1a-27bfe%22	https://apistylebook.com/media/screenshots/haufe-api-styleguide.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/haufe-api-styleguide.png	(from https://apistylebook.com/design/guidelines/)
17:24:43	60015/60015	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/haufe-api-styleguide	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/haufe-api-styleguide.html	(from https://apistylebook.com/design/guidelines/)
17:24:43	193227/193227	---M--	200	added ('OK')	image/png	etag:%225d348b1a-2f2cb%22	https://apistylebook.com/media/screenshots/heroku-http-api-design-guide.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/heroku-http-api-design-guide.png	(from https://apistylebook.com/design/guidelines/)
